bodytype,seats,kms,modelYear,fueltype,ownerNo,transmission,price,Insurance,engine_cc,oem,Gearbox,Mileage,DriveType,city
SUV,5.0,20000,2022,Petrol,1,Automatic,1150000,Third Party insurance,998.0,Kia,7,18.9,FWD,chennai
Minivans,7.0,20687,2015,Petrol,1,Manual,415000,Comprehensive,1196.0,Maruti,5,15.37,RWD,chennai
SUV,5.0,30000,2021,Petrol,1,Manual,750000,Third Party insurance,999.0,Nissan,5,20.0,FWD,chennai
Hatchback,5.0,59247,2015,Petrol,1,Manual,398000,Comprehensive,1086.0,Hyundai,5,19.81,FWD,chennai
Hatchback,5.0,50000,2015,Petrol,1,Manual,550000,Third Party insurance,1199.0,Honda,5,18.7,FWD,chennai
Sedan,5.0,20000,2016,Diesel,1,Automatic,3300000,Comprehensive,2143.0,Mercedes-Benz,7,13.0,RWD,chennai
Hatchback,5.0,29403,2016,Petrol,1,Automatic,453000,Comprehensive,998.0,Maruti,5,23.1,FWD,chennai
Hatchback,5.0,42700,2010,Petrol,1,Manual,285000,Comprehensive,998.0,Maruti,5,19.0,FWD,chennai
SUV,5.0,23001,2018,Diesel,1,Automatic,5000000,Comprehensive,1995.0,BMW,8,16.55,AWD,chennai
SUV,5.0,25925,2018,Petrol,2,Automatic,821000,Comprehensive,1497.0,Ford,6,14.8,FWD,chennai
Hatchback,5.0,20000,2021,Petrol,1,Manual,865000,Third Party insurance,1197.0,Hyundai,5,21.0,FWD,chennai
Hatchback,5.0,17711,2019,Petrol,1,Automatic,792000,Comprehensive,1199.0,Honda,5,18.2,FWD,chennai
Sedan,5.0,50000,2020,Diesel,1,Automatic,4050000,Comprehensive,1995.0,BMW,8,20.37,RWD,chennai
Hatchback,5.0,50000,2018,Petrol,1,Manual,610000,Third Party insurance,1197.0,Maruti,5,22.0,FWD,chennai
Hatchback,5.0,51125,2018,Petrol,2,Manual,511000,Comprehensive,1197.0,Hyundai,5,18.9,FWD,chennai
SUV,5.0,69233,2019,Diesel,1,Manual,710000,Comprehensive,1497.0,Tata,6,21.5,FWD,chennai
SUV,5.0,65000,2017,Diesel,1,Manual,1225000,Comprehensive,1956.0,Jeep,6,17.1,4WD,chennai
Sedan,5.0,93281,2014,Petrol,1,Manual,570000,Comprehensive,1497.0,Honda,5,17.4,FWD,chennai
SUV,7.0,18000,2022,Diesel,1,Manual,3900000,Comprehensive,2755.0,Toyota,6,18.9,RWD,chennai
Sedan,5.0,99225,2014,Petrol,2,Manual,375000,Comprehensive,1198.0,Honda,5,18.0,FWD,chennai
Hatchback,5.0,30000,2016,Petrol,1,Manual,275000,Third Party insurance,998.0,Hyundai,5,20.3,FWD,chennai
Sedan,5.0,30602,2014,Petrol,1,Manual,429000,Comprehensive,1198.0,Honda,5,18.0,FWD,chennai
Hatchback,5.0,64500,2018,Diesel,1,Manual,675000,Comprehensive,1248.0,Maruti,5,25.2,FWD,chennai
Sedan,5.0,46809,2017,Petrol,2,Manual,793000,Comprehensive,1497.0,Honda,5,17.8,FWD,chennai
SUV,5.0,20000,2020,Electric,1,Automatic,1100000,Third Party insurance,0.0,Tata,5,18.9,FWD,chennai
SUV,5.0,20000,2019,Diesel,1,Automatic,1425000,Comprehensive,1582.0,Hyundai,6,17.01,FWD,chennai
SUV,5.0,21725,2020,Petrol,1,Automatic,1036000,Third Party,998.0,Hyundai,7,18.15,FWD,chennai
Sedan,5.0,80000,2016,Petrol,1,Manual,800000,Third Party insurance,1497.0,Honda,5,17.8,FWD,chennai
Sedan,5.0,88000,2013,Petrol,2,Automatic,1400000,Third Party insurance,1984.0,Audi,8,13.53,FWD,chennai
Sedan,5.0,30360,2019,Petrol,2,Automatic,1088000,Third Party,1497.0,Honda,5,17.4,FWD,chennai
Hatchback,5.0,70000,2017,Petrol,2,Automatic,590000,Third Party insurance,1197.0,Maruti,5,21.4,FWD,chennai
Hatchback,5.0,16246,2016,Petrol,1,Manual,568000,Comprehensive,1197.0,Hyundai,5,18.9,FWD,chennai
Hatchback,5.0,55000,2017,Petrol,2,Automatic,400000,Comprehensive,998.0,Maruti,5,23.1,FWD,chennai
MUV,7.0,13000,2022,Petrol,1,Automatic,2790000,Comprehensive,2694.0,Toyota,6,8.0,RWD,chennai
Hatchback,5.0,71638,2016,Petrol,2,Automatic,422000,Third Party,998.0,Maruti,5,23.1,FWD,chennai
Sedan,5.0,46105,2015,Petrol,1,Manual,450000,Comprehensive,1198.0,Honda,5,18.0,FWD,chennai
SUV,5.0,60000,2017,Petrol,1,Manual,650000,Third Party insurance,1199.0,Honda,5,17.5,FWD,chennai
Hatchback,5.0,80000,2017,Diesel,1,Manual,575000,Third Party insurance,1498.0,Honda,6,27.3,FWD,chennai
Hatchback,5.0,58000,2015,Diesel,1,Automatic,1950000,Comprehensive,2143.0,Mercedes-Benz,7,15.0,FWD,chennai
Sedan,5.0,70000,2008,Petrol,2,Manual,150000,Third Party insurance,1298.0,Maruti,5,15.9,FWD,chennai
Hatchback,5.0,61764,2017,Petrol,1,Automatic,702000,Third Party,1197.0,Maruti,5,21.4,FWD,chennai
SUV,6.0,36018,2016,Petrol,2,Manual,448000,Third Party insurance,1198.0,Mahindra,5,18.15,FWD,chennai
SUV,5.0,150000,2016,Diesel,1,Automatic,650000,Third Party insurance,1461.0,Renault,6,19.6,FWD,chennai
Hatchback,5.0,17197,2022,Petrol,1,Manual,801000,Third Party,998.0,Hyundai,5,20.7,FWD,chennai
Sedan,5.0,62931,2016,Petrol,2,Automatic,772000,Comprehensive,1497.0,Honda,5,18.0,FWD,chennai
Sedan,5.0,90000,2013,Petrol,2,Manual,500000,Third Party insurance,1798.0,Toyota,6,14.53,FWD,chennai
SUV,5.0,21023,2021,Petrol,1,Manual,1103000,Third Party,1197.0,Mahindra,6,16.82,FWD,chennai
Sedan,5.0,43000,2018,Diesel,1,Manual,1490000,Comprehensive,1364.0,Toyota,6,21.43,FWD,chennai
Sedan,5.0,110505,2017,Diesel,1,Automatic,627000,Third Party insurance,1248.0,Maruti,5,28.4,FWD,chennai
Sedan,5.0,78892,2018,Petrol,1,Manual,835000,Third Party insurance,1591.0,Hyundai,6,17.0,FWD,chennai
Sedan,5.0,59000,2015,Diesel,1,Automatic,2089999,Third Party insurance,1968.0,Audi,7,18.53,FWD,chennai
Sedan,5.0,90058,2014,Petrol,1,Manual,350000,Comprehensive,1199.0,Chevrolet,5,18.2,FWD,chennai
SUV,5.0,69000,2015,Diesel,1,Automatic,2100000,Third Party insurance,2967.0,Audi,7,13.22,AWD,chennai
SUV,5.0,67000,2019,Diesel,1,Manual,925000,Comprehensive,1498.0,Honda,6,25.5,FWD,chennai
Sedan,5.0,80000,2017,Diesel,1,Manual,850000,Third Party insurance,1248.0,Maruti,5,28.09,FWD,chennai
Sedan,5.0,80000,2017,Diesel,1,Manual,850000,Third Party insurance,1248.0,Maruti,5,28.09,FWD,chennai
SUV,7.0,57000,2020,Diesel,1,Automatic,6600000,Comprehensive,2967.0,Audi,8,14.75,AWD,chennai
