bodytype,fueltype,oem,owner,transmission,ownerNo,kms driven,Mileage,model,variantName,Seats,DriveType,Insurance,modelYear,Registration Year,Gearbox,Torque,Year of Manufacture,Carlength,Engine Displacement,Carwidth,city,Max Power,price
SUV,Petrol,Kia,1st Owner,Automatic,1,"20,000",18.9,Kia Sonet,Turbo DCT Anniversary Edition,5 Seats,FWD,Third Party insurance,2022,2022,7,172.0,2022,3995,998 cc,1790,chennai,118.36,1150000
Minivans,Petrol,Maruti,1st Owner,Manual,1,"20,687",15.37,Maruti Eeco,7 Seater Standard BSIV,7 Seats,RWD,Comprehensive,2015,Feb 2015,5,101.0,2015,3675,1196 cc,1475,chennai,73.0,415000
SUV,Petrol,Nissan,1st Owner,Manual,1,"30,000",20.0,Nissan Magnite,Turbo XV Premium BSVI,5 Seats,FWD,Third Party insurance,2021,2021,5,160.0,2021,3994,999 cc,1758,chennai,98.63,750000
Hatchback,Petrol,Hyundai,1st Owner,Manual,1,"59,247",19.81,Hyundai i10,Sportz 1.1L,5 Seats,FWD,Comprehensive,2015,May 2015,5,99.04,2015,3585,1086 cc,1595,chennai,68.05,398000
Hatchback,Petrol,Honda,1st Owner,Manual,1,"50,000",18.7,Honda Jazz,1.2 VX i VTEC,5 Seats,FWD,Third Party insurance,2015,2015,5,110.0,2015,3955,1199 cc,1694,chennai,88.7,550000
Sedan,Diesel,Mercedes-Benz,1st Owner,Automatic,1,"20,000",13.0,Mercedes-Benz E-Class,E250 CDI Avantgarde,5 Seats,RWD,Comprehensive,2016,Sept 2017,7,500.0,2016,4879,2143 cc,2071,chennai,204.0,3300000
Hatchback,Petrol,Maruti,1st Owner,Automatic,1,"29,403",23.1,Maruti Celerio,ZXI AT Optional,5 Seats,FWD,Comprehensive,2016,Aug 2016,5,90.0,2016,3715,998 cc,1635,chennai,67.04,453000
Hatchback,Petrol,Maruti,1st Owner,Manual,1,"42,700",19.0,Maruti A-Star,Zxi,5 Seats,FWD,Comprehensive,2010,May 2010,5,90.0,2010,3500,998 cc,1600,chennai,66.1,285000
SUV,Diesel,BMW,1st Owner,Automatic,1,"23,001",16.55,BMW X3,xDrive 20d Luxury Line,5 Seats,AWD,Comprehensive,2018,Oct 2018,8,400.0,2018,4708,1995 cc,1891,chennai,187.7,5000000
SUV,Petrol,Ford,2nd Owner,Automatic,2,"25,925",14.8,Ford Ecosport,1.5 Petrol Titanium Plus AT BSIV,5 Seats,FWD,Comprehensive,2018,Sept 2018,6,150.0,2018,3998,1497 cc,1765,chennai,121.36,821000
Hatchback,Petrol,Hyundai,1st Owner,Manual,1,"20,000",21.0,Hyundai i20,Asta Opt BSVI,5 Seats,FWD,Third Party insurance,2021,2021,5,114.74,2021,3995,1197 cc,1775,chennai,81.8,865000
